timestamp,x,y,z,accuracy
1637591506861,-8.265602,4.362025,5.4781337,3
1637591506881,-7.6910186,4.8935146,4.7072334,3
1637591506901,-8.385306,4.065156,4.4103656,3
1637591506920,-9.951048,3.9550276,4.644987,3
1637591506940,-11.2007675,4.1226144,4.6737165,3
1637591506960,-12.187136,3.112305,3.917181,3
1637591506980,-13.652325,1.8338561,3.6155248,3
1637591507000,-15.332982,1.1922376,3.9794278,3
1637591507019,-15.859684,0.72778255,4.3433304,3
1637591507039,-15.644215,-0.0718465,4.429518,3
1637591507059,-15.170183,-0.8235935,3.7783234,3
1637591507079,-14.672211,-0.7852879,3.768747,3
1637591507099,-14.504623,-1.2401667,3.3617501,3
1637591507118,-13.508678,-1.6327989,3.017,3
1637591507138,-11.981244,-2.4084866,4.4103656,3
1637591507157,-11.195979,-3.380491,5.0184665,3
1637591507178,-11.085851,-3.892828,4.8460913,3
1637591507199,-10.985299,-4.2854605,4.740751,3
1637591507217,-10.128211,-5.080301,4.836515,3
1637591507238,-9.089171,-5.956541,4.4582477,3
1637591507257,-8.605564,-7.402577,4.056039,3
1637591507277,-8.00704,-8.85819,4.151803,3
1637591507298,-7.676654,-9.432774,4.2619314,3
1637591507336,-7.911276,-9.169422,3.4000556,3
1637591507336,-7.2648687,-9.298703,2.8063192,3
1637591507360,-6.527487,-10.05045,3.380903,3
1637591507377,-7.1403756,-10.562787,3.3042917,3
1637591507396,-7.97831,-10.098332,3.0792465,3
1637591507414,-8.160262,-9.897228,3.2755628,3
1637591507435,-8.1650505,-10.44787,3.3282328,3
1637591507454,-8.284756,-10.481388,3.3617501,3
1637591507474,-8.639082,-10.165367,3.572431,3
1637591507494,-8.528953,-9.451925,3.54849,3
1637591507514,-7.585678,-9.638665,3.4479377,3
1637591507534,-7.18347,-8.853401,3.5915837,3
1637591507553,-6.5370626,-8.063349,3.3282328,3
1637591507573,-5.028781,-7.728174,3.1079757,3
1637591507593,-4.2291517,-6.794476,2.9403887,3
1637591507613,-3.137443,-5.64052,1.053839,3
1637591507633,-2.2372618,-6.899816,0.84794647,3
1637591507654,-2.6729877,-5.832048,2.3274994,3
1637591507675,-3.381641,-3.6246889,3.2755628,3
1637591507694,-3.6066864,-3.308668,3.4239967,3
1637591507715,-4.1908464,-4.2136374,4.5109177,3
1637591507733,-5.0383573,-6.0523047,5.0902896,3
1637591507752,-5.622517,-6.291715,6.244245,3
1637591507774,-5.948115,-5.511239,8.054184,3
1637591507794,-6.086972,-3.911981,8.336687,3
1637591507816,-5.957691,-2.710143,8.667073,3
1637591507835,-6.1157017,-0.30167997,8.882543,3
1637591507854,-5.665611,0.61286575,8.834661,3
1637591507875,-5.1245446,1.3837655,8.341476,3
1637591507892,-5.1915793,1.1491438,8.461182,3
1637591507911,-4.8516173,3.5576074,7.2737074,3
1637591507931,-5.000052,8.235676,6.871499,3
1637591507951,-4.396739,6.5885363,5.8611894,3
1637591507971,-4.1716933,5.3388166,5.4589806,3
1637591507991,-4.5834785,7.234943,5.420675,3
1637591508015,-4.0998707,8.4080515,5.0376196,3
1637591508034,-3.7263913,8.968269,4.3146014,3
1637591508054,-3.5827453,8.896446,4.257143,3
